iter	Passed	Remaining
901	51502	5595
902	51559	5538
903	51611	5480
904	51663	5423
905	51720	5366
906	51777	5309
907	51833	5251
908	51889	5194
909	51946	5137
910	51999	5080
911	52051	5022
912	52102	4964
913	52158	4907
914	52211	4850
915	52264	4792
916	52316	4735
917	52373	4678
918	52425	4620
919	52485	4563
920	52536	4506
921	52606	4450
922	52660	4393
923	52713	4335
924	52766	4278
925	52818	4220
926	52873	4163
927	52924	4106
928	52979	4049
929	53030	3991
930	53083	3934
931	53138	3877
932	53193	3819
933	53249	3762
934	53301	3705
935	53356	3648
936	53413	3591
937	53468	3534
938	53524	3477
939	53593	3420
940	53646	3363
941	53705	3306
942	53757	3249
943	53813	3192
944	53866	3135
945	53935	3078
946	53988	3021
947	54043	2964
948	54095	2907
949	54150	2850
950	54203	2792
951	54261	2735
952	54320	2678
953	54373	2621
954	54428	2564
955	54483	2507
956	54538	2450
957	54593	2393
958	54646	2336
959	54701	2279
960	54761	2222
961	54818	2165
962	54872	2108
963	54925	2051
964	54977	1993
965	55033	1937
966	55086	1879
967	55146	1823
968	55199	1765
969	55278	1709
970	55333	1652
971	55386	1595
972	55443	1538
973	55498	1481
974	55554	1424
975	55606	1367
976	55661	1310
977	55721	1253
978	55778	1196
979	55836	1139
980	55889	1082
981	55948	1025
982	56000	968
983	56054	911
984	56106	854
985	56161	797
986	56212	740
987	56268	683
988	56321	626
989	56378	569
990	56429	512
991	56483	455
992	56534	398
993	56604	341
994	56656	284
995	56709	227
996	56762	170
997	56817	113
998	56878	56
999	56938	0
