Date,Name,Year,Letterboxd URI,Plot,Director1,Director2,Genre1,Genre2,Country1,Country2,RatingAvg,RatingCount
2022-01-18,Alice,1988,https://boxd.it/1G3C,"A quiet young English girl named Alice finds herself in an alternate version of her own reality after chasing a white rabbit. She becomes surrounded by living inanimate objects and stuffed dead animals, and must find a way out of this nightmare - no matter how twisted or odd that way must be. A memorably bizarre screen version of Lewis Carroll’s novel ""Alice’s Adventures in Wonderland"".",Jan Švankmajer,,Fantasy,Adventure,Czechoslovakia,Germany,3.97,35992.0
2022-01-18,Fantastic Planet,1973,https://boxd.it/1KnQ,"On the planet Ygam, the Draags, extremely technologically and spiritually advanced blue humanoids, consider the tiny Oms, human beings descendants of Terra's inhabitants, as ignorant animals. Those who live in slavery are treated as simple pets and used to entertain Draag children; those who live hidden in the hostile wilderness of the planet are periodically hunted and ruthlessly slaughtered as if they were vermin.",René Laloux,,Animation,Science Fiction,Czechoslovakia,France,4.02,201497.0
2022-01-22,The Man Who Wasn't There,2001,https://boxd.it/1Vqc,"A tale of murder, crime and punishment set in the summer of 1949. Ed Crane, a barber in a small California town, is dissatisfied with his life, but his wife Doris' infidelity and a mysterious opportunity presents him with a chance to change it.",Joel Coen,,Drama,Crime,UK,USA,3.92,75190.0
2022-01-22,Only God Forgives,2013,https://boxd.it/2HBs,"Julian, who runs a Thai boxing club as a front organization for his family's drug smuggling operation, is forced by his mother Crystal to find and kill the individual responsible for his brother's recent death.",Nicolas Winding Refn,,Thriller,Drama,Denmark,France,3.0,143588.0
2022-01-22,Mommy,2014,https://boxd.it/7Uau,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",Xavier Dolan,,Drama,,Canada,,4.31,214989.0
2022-01-25,Eighth Grade,2018,https://boxd.it/hDMG,Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school — the end of her thus far disastrous eighth grade year — before she begins high school.,Bo Burnham,,Comedy,Drama,USA,,3.77,407661.0
2022-01-26,Clouds of Sils Maria,2014,https://boxd.it/7f62,A veteran actress comes face-to-face with an uncomfortable reflection of herself when she agrees to take part in a revival of the play that launched her career 20 years earlier.,Olivier Assayas,,Drama,,France,Germany,3.68,44693.0
2022-01-28,Night on Earth,1991,https://boxd.it/2ayq,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Jim Jarmusch,,Drama,Comedy,USA,Japan,3.99,100482.0
2022-01-28,Only Lovers Left Alive,2013,https://boxd.it/4O1U,"A depressed musician reunites with his lover in the desolate streets of Detroit. Though their romance has endured several centuries, it is tested by the arrival of her capricious and unpredictable younger sister.",Jim Jarmusch,,Drama,Romance,UK,Germany,3.81,183683.0
2022-02-11,Two Evil Eyes,1990,https://boxd.it/1njc,"A duo of Edgar Allan Poe adaptations about a greedy wife's attempt to embezzle her dying husband's fortune, and a sleazy reporter's adoption of a strange black cat.",Dario Argento,George A. Romero,Horror,,Italy,USA,3.11,10874.0
2022-02-11,Escape from Alcatraz,1979,https://boxd.it/1Vwk,"San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan.",Don Siegel,,Thriller,Drama,USA,,3.77,126692.0
2022-02-11,The Face of Another,1966,https://boxd.it/1nso,"A businessman with a disfigured face obtains a lifelike mask from his doctor, but the mask starts altering his personality.",Hiroshi Teshigahara,,Science Fiction,Drama,Japan,,4.24,41786.0
2022-02-12,Rain Man,1988,https://boxd.it/2avw,"When car dealer Charlie Babbitt learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has a savant older brother named Raymond and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives.",Barry Levinson,,Drama,,USA,,3.88,362709.0
2022-02-21,The Worst Person in the World,2021,https://boxd.it/oyws,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",Joachim Trier,,Drama,Romance,Norway,Sweden,4.1,660343.0
