Date,Name,Year,Letterboxd URI,Rating,Plot,Director1,Director2,Genre1,Genre2,Country1,Country2,RatingAvg,RatingCount
2022-07-19,The Decameron,1971,https://boxd.it/1fdq,3.5,"A young Sicilian is swindled twice, but ends up rich; a man poses as a deaf-mute in a convent of curious nuns; a woman must hide her lover when her husband comes home early; a scoundrel fools a priest on his deathbed; three brothers take revenge on their sister's lover; a young girl sleeps on the roof to meet her boyfriend at night; a group of painters wait for inspiration; a crafty priest attempts to seduce his friend's wife; and two friends make a pact to find out what happens after death.",Pier Paolo Pasolini,,Drama,Comedy,France,Germany,3.79,19246
2022-07-20,Alphaville,1965,https://boxd.it/20AG,4.5,"Lemmy Caution is on a mission to eliminate Professor Von Braun, the creator of a malevolent computer that rules the city of Alphaville. Befriended by the scientist’s daughter Natasha, Lemmy must unravel the mysteries of the strictly logical Alpha 60 and teach Natasha the meaning of the word “love.”",Jean-Luc Godard,,Science Fiction,Mystery,France,Italy,3.69,57881
2022-07-22,Ju-on: The Final Curse,2015,https://boxd.it/bFR2,2.0,"Following the events of Ju-on: The Beginning of the End, Mai, the older sister of elementary schoolteacher Yui Shono, goes to look for her sister, who disappeared after a year while working in an elementary school. Mai soon discovers the Teriyaki household who tells her about what happened to her sister. Mai will now uncover the dark secrets of Ju-on and will try to end the curse once and for all.",Masayuki Ochiai,,Horror,,Japan,,2.3,1382
2022-07-23,Exam,2009,https://boxd.it/1mn8,2.5,"Eight talented candidates have reached the final stage of selection to join the ranks of a mysterious and powerful corporation. Entering a windowless room, where an armed guard keeps watch, they are given 80 minutes to answer one simple question.",Stuart Hazeldine,,Mystery,Thriller,UK,,2.91,59343
2022-07-23,Adrift,2017,https://boxd.it/fVci,2.5,"When a group of friends fail to lower the ladder of their boat, they find themselves stranded in the surrounding waters and struggle to survive.",Sérgio Graciano,,Drama,Adventure,Portugal,,1.92,1812
2022-07-25,Super 8,2011,https://boxd.it/dVI,3.0,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",J.J. Abrams,,Science Fiction,Mystery,USA,,3.5,271589
2022-07-31,Marley & Me,2008,https://boxd.it/1Ola,2.5,"A newly married couple, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.",David Frankel,,Comedy,Family,USA,,3.37,204903
2022-08-04,Touki Bouki,1973,https://boxd.it/2H44,3.0,"Mory, a cowherd, and Anta, a university student, try to make money in order to go to Paris and leave their boring past behind.",Djibril Diop Mambéty,,Drama,Romance,Senegal,,3.83,21163
2022-08-08,Prey,2022,https://boxd.it/sNBU,3.5,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",Dan Trachtenberg,,Science Fiction,Action,USA,,3.57,449748
2022-08-08,Ms. Marvel,2022,https://boxd.it/ANCY,3.0,"A great student, avid gamer, and voracious fan-fic scribe, Kamala Khan has a special affinity for superheroes, particularly Captain Marvel. However, she struggles to fit in at home and at school — that is, until she gets superpowers like the heroes she’s always looked up to. Life is easier with superpowers, right?",Adil El Arbi,Bilall Fallah,Comedy,,USA,,2.81,140171
2022-08-10,Five Easy Pieces,1970,https://boxd.it/1tww,4.0,"A drop-out from upper-class America picks up work along the way on oil-rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",Bob Rafelson,,Drama,,USA,,3.9,51895
2022-08-10,27 Dresses,2008,https://boxd.it/21x4,2.5,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,Anne Fletcher,,Romance,Comedy,USA,,3.29,336803
2022-08-10,Bride Wars,2009,https://boxd.it/1W3I,2.5,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,Gary Winick,,Romance,Comedy,USA,,2.95,239516
2022-08-10,An Officer and a Gentleman,1982,https://boxd.it/26xS,3.5,"Zack Mayo is an aloof, taciturn man who aspires to be a navy pilot. Once he arrives at training camp for his 13-week officer's course, Mayo runs afoul of abrasive, no-nonsense drill Sergeant Emil Foley. Mayo is an excellent cadet, but a little cold around the heart, so Foley rides him mercilessly, sensing that the young man would be prime officer material if he weren't so self-involved. Zack's affair with a working girl is likewise compromised by his unwillingness to give of himself.",Taylor Hackford,,Drama,Romance,USA,,3.41,28145
2022-08-12,Anatomy of a Murder,1959,https://boxd.it/2baa,4.5,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",Otto Preminger,,Crime,Drama,USA,,4.24,70886
2022-08-12,Sense8: Happy F*cking New Year,2016,https://boxd.it/rP4w,4.0,"Scandals, surprises and celebrations deepen the Sensates' bond as they work to rebuild their lives and outmanoeuvre Whispers.",Lana Wachowski,,Drama,Fantasy,,,4.09,16687
2022-08-12,Sense8: Amor Vincit Omnia,2018,https://boxd.it/rP4Q,3.5,"In the sweeping series finale, passions run high as the Sensates and their closest allies fight to save the cluster and stop their enemies for good.",Lana Wachowski,,Science Fiction,Drama,USA,,4.19,11640
2022-08-13,Possessor,2020,https://boxd.it/fsJW,4.0,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her.",Brandon Cronenberg,,Science Fiction,Thriller,Australia,Canada,3.57,177029
2022-08-13,Nope,2022,https://boxd.it/sDCe,4.0,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",Jordan Peele,,Mystery,Science Fiction,USA,,3.69,1695878
2022-08-19,Spinning Man,2018,https://boxd.it/gmAc,2.5,"Evan Birch is a family man and esteemed professor at a distinguished university. When a female student goes missing, police Detective Malloy has reason to be suspicious when crucial evidence makes Evan the prime suspect in her disappearance.",Simon Kaijser,,Crime,Thriller,USA,Poland,2.68,3852
2022-08-22,Diabolique,1955,https://boxd.it/29we,4.0,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.",Henri-Georges Clouzot,,Horror,Thriller,France,,4.18,70567
2022-08-23,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,2.0,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",David Slade,,Drama,Fantasy,USA,,2.66,575183
2022-08-23,Twilight,2008,https://boxd.it/1Zui,2.5,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.",Catherine Hardwicke,,Romance,Drama,UK,USA,3.01,1339674
2022-08-23,The Gray Man,2022,https://boxd.it/rb7q,3.0,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",Joe Russo,Anthony Russo,Thriller,Action,USA,,2.77,405339
2022-08-24,Saw V,2008,https://boxd.it/1SMa,2.0,"Following Jigsaw's grisly demise, Detective Mark Hoffman is commended as a hero, but Agent Strahm is suspicious, and delves into Hoffman's past. Meanwhile, another group of people are put through a series of gruesome tests.",David Hackl,,Crime,Thriller,USA,,2.67,199283
2022-08-30,Ricky Gervais: Humanity,2018,https://boxd.it/ipiO,4.0,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally.",John L. Spencer,,Comedy,,UK,,3.71,22649
2022-08-30,The Interview,2014,https://boxd.it/6KQ4,3.0,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",Seth Rogen,Evan Goldberg,Comedy,Action,USA,,3.01,419532
