Date,Name,Year,Letterboxd URI
2022-01-29,Only Lovers Left Alive,2013,https://boxd.it/4O1U
2022-02-11,Two Evil Eyes,1990,https://boxd.it/1njc
2022-02-11,Escape from Alcatraz,1979,https://boxd.it/1Vwk
2022-02-11,The Face of Another,1966,https://boxd.it/1nso
2022-02-13,Rain Man,1988,https://boxd.it/2avw
2022-02-22,The Worst Person in the World,2021,https://boxd.it/oyws
2022-02-22,Werckmeister Harmonies,2000,https://boxd.it/1zzw
2022-03-04,Christine,1983,https://boxd.it/1ZRQ
2022-03-05,Seconds,1966,https://boxd.it/1Dbe
2022-03-10,Filth,2013,https://boxd.it/32NY
2022-03-10,Thief,1981,https://boxd.it/1TEc
2022-03-13,My Dinner with Andre,1981,https://boxd.it/1vLe
2022-03-22,Theorem,1968,https://boxd.it/237C
2022-03-28,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2022-03-29,"Ciao, Professore!",1992,https://boxd.it/1yXC
2022-03-29,The Tragedy of Macbeth,2021,https://boxd.it/lMi4
2022-03-30,Chinatown,1974,https://boxd.it/29vU
2022-04-01,Shallow Grave,1994,https://boxd.it/1XyW
2022-04-13,Apollo 10½: A Space Age Childhood,2022,https://boxd.it/oKiM
2022-04-16,The Voice of the Moon,1990,https://boxd.it/iZg
2022-04-16,Breakfast at Tiffany's,1961,https://boxd.it/2aYS
2022-04-21,Fresh,2022,https://boxd.it/tCNi
2022-04-27,Green Room,2015,https://boxd.it/a75m
2022-04-27,Under the Skin,2013,https://boxd.it/3mDa
2022-04-27,Peppermint Candy,1999,https://boxd.it/ZQc
2022-04-28,Once Upon a Time in the West,1968,https://boxd.it/2az4
2022-05-01,Oasis,2002,https://boxd.it/1sO0
2022-05-06,Charade,1963,https://boxd.it/23O2
2022-05-06,The Sadness,2021,https://boxd.it/tcHe
2022-05-12,Tape,2001,https://boxd.it/1yCu
2022-05-15,Guinea Pig: Mermaid in the Manhole,1988,https://boxd.it/1hl2
2022-05-16,High Life,2018,https://boxd.it/d6bk
2022-05-16,Zola,2020,https://boxd.it/jEWQ
2022-05-17,The Third Man,1949,https://boxd.it/294E
2022-05-29,Tampopo,1985,https://boxd.it/1SZe
2022-06-01,Pleasantville,1998,https://boxd.it/26uY
2022-06-11,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk
2022-06-11,The Void,2016,https://boxd.it/d93S
2022-06-15,The Devils,1971,https://boxd.it/1inI
2022-06-17,The Ten Commandments,1956,https://boxd.it/21mg
2022-06-19,Love Exposure,2008,https://boxd.it/1pDe
2022-06-21,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2022-06-22,Irma Vep,1996,https://boxd.it/1vYs
2022-06-22,The Fabulous Baron Munchausen,1962,https://boxd.it/ZV2
2022-06-22,Code Unknown,2000,https://boxd.it/1kaw
2022-06-22,Bringing Out the Dead,1999,https://boxd.it/1ZZK
2022-06-27,Layer Cake,2004,https://boxd.it/23LC
2022-06-27,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY
2022-06-27,The Love Witch,2016,https://boxd.it/cZie
2022-06-27,Topology of Sirens,2021,https://boxd.it/md3U
2022-06-29,Dances with Wolves,1990,https://boxd.it/2a4K
2022-07-10,Suzhou River,2000,https://boxd.it/1Tsq
2022-07-11,Fire of Love,2022,https://boxd.it/yoPY
2022-07-13,Silverado,1985,https://boxd.it/1TGC
2022-07-13,Satantango,1994,https://boxd.it/1j9M
2022-07-15,Pickpocket,1959,https://boxd.it/29O8
2022-08-11,Winter Sleep,2014,https://boxd.it/7Ua0
2022-08-11,Bunny Lake Is Missing,1965,https://boxd.it/27NW
2022-08-11,American Gigolo,1980,https://boxd.it/26l8
2022-08-12,We All Loved Each Other So Much,1974,https://boxd.it/XjK
2022-08-13,A Scanner Darkly,2006,https://boxd.it/25jK
2022-08-16,Old,2021,https://boxd.it/npKI
2022-08-19,10 Rillington Place,1971,https://boxd.it/1uig
2022-08-19,Death Becomes Her,1992,https://boxd.it/1YQi
2022-08-19,Sans Soleil,1983,https://boxd.it/28B8
2022-08-20,One Way or Another,1976,https://boxd.it/Lyo
2022-08-20,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
